transaction_id,date,amount,signed_amount,type,account_id,merchant,category,transaction_flag
TXN0001,16-03-2024,59796,59796,CREDIT,ACC802,Apple,Travel,High Value
TXN0002,03-03-2024,45145,45145,CREDIT,ACC301,Flipkart,Income,Normal
TXN0003,13-01-2024,23243,23243,CREDIT,ACC690,Apple,Income,Normal
TXN0004,30-03-2024,78721,-78721,DEBIT,ACC988,Uber,Electronics,High Value
TXN0005,20-02-2024,56763,56763,CREDIT,ACC594,Amazon,Travel,High Value
TXN0006,20-01-2024,72145,72145,CREDIT,ACC284,Nike,Shopping,High Value
TXN0007,04-01-2024,48886,-48886,DEBIT,ACC814,Amazon,Travel,Normal
TXN0008,20-02-2024,74883,-74883,DEBIT,ACC333,Walmart,Travel,High Value
TXN0009,19-01-2024,76783,-76783,DEBIT,ACC633,Walmart,Travel,High Value
TXN0010,25-02-2024,36085,-36085,DEBIT,ACC216,Bonus,Income,Normal
TXN0011,19-01-2024,96481,96481,CREDIT,ACC921,Bonus,Income,High Value
TXN0012,04-03-2024,54634,-54634,DEBIT,ACC179,Uber,Shopping,High Value
TXN0013,25-01-2024,48827,-48827,DEBIT,ACC767,Apple,Travel,Normal
TXN0014,28-01-2024,53573,53573,CREDIT,ACC364,Bonus,Income,High Value
TXN0015,24-01-2024,60733,60733,CREDIT,ACC921,Salary,Food,High Value
TXN0016,19-02-2024,33272,33272,CREDIT,ACC945,Uber,Income,Normal
TXN0017,18-01-2024,48862,-48862,DEBIT,ACC309,Swiggy,Shopping,Normal
TXN0018,13-02-2024,44871,44871,CREDIT,ACC564,Amazon,Income,Normal
TXN0019,18-01-2024,48749,-48749,DEBIT,ACC683,Zara,Income,Normal
TXN0020,09-02-2024,32882,32882,CREDIT,ACC700,Nike,Shopping,Normal
TXN0021,12-01-2024,1052,1052,CREDIT,ACC382,Bonus,Income,Normal
TXN0022,15-02-2024,55700,-55700,DEBIT,ACC632,Amazon,Shopping,High Value
TXN0023,07-03-2024,74772,74772,CREDIT,ACC587,Uber,Travel,High Value
TXN0024,02-02-2024,16705,-16705,DEBIT,ACC275,Walmart,Electronics,Normal
TXN0025,01-03-2024,77012,77012,CREDIT,ACC399,Nike,Food,High Value
TXN0026,30-03-2024,15698,-15698,DEBIT,ACC149,Salary,Income,Normal
TXN0027,25-02-2024,21321,21321,CREDIT,ACC649,Bonus,Income,Normal
TXN0028,08-03-2024,15006,15006,CREDIT,ACC345,Amazon,Food,Normal
TXN0029,13-02-2024,19994,19994,CREDIT,ACC332,Salary,Electronics,Normal
TXN0030,28-03-2024,68739,-68739,DEBIT,ACC600,Apple,Electronics,High Value
TXN0031,30-03-2024,18340,-18340,DEBIT,ACC188,Uber,Food,Normal
TXN0032,28-01-2024,7297,7297,CREDIT,ACC304,Flipkart,Income,Normal
TXN0033,25-01-2024,25039,-25039,DEBIT,ACC869,Zara,Shopping,Normal
TXN0034,01-01-2024,58363,-58363,DEBIT,ACC681,Bonus,Electronics,High Value
TXN0035,05-03-2024,5546,-5546,DEBIT,ACC981,Zara,Food,Normal
TXN0036,31-01-2024,7523,-7523,DEBIT,ACC684,Salary,Electronics,Normal
TXN0037,11-01-2024,74983,74983,CREDIT,ACC104,Walmart,Food,High Value
TXN0038,22-01-2024,31335,-31335,DEBIT,ACC356,Salary,Food,Normal
TXN0039,19-01-2024,91912,-91912,DEBIT,ACC767,Swiggy,Food,High Value
TXN0040,22-03-2024,87230,87230,CREDIT,ACC666,Walmart,Food,High Value
TXN0041,21-02-2024,73522,-73522,DEBIT,ACC831,Apple,Electronics,High Value
TXN0042,02-03-2024,71154,-71154,DEBIT,ACC857,Bonus,Travel,High Value
TXN0043,13-03-2024,37887,37887,CREDIT,ACC565,Salary,Travel,Normal
